Method,Missing_Fraction,Replicate,Status,N_Missing,RMSE,MAE,R2,PLV,Within_1Std,Within_2Std
Baseline GPR,0.1,0,Failed: too many values to unpack (expected 2),,,,,,,
Baseline GPR,0.1,1,Failed: too many values to unpack (expected 2),,,,,,,
Baseline GPR,0.1,2,Failed: too many values to unpack (expected 2),,,,,,,
Multi-Kernel GPR,0.1,0,Success,850.0,0.5718292919339213,0.37585742478521705,0.22580208251519973,0.5195560257060982,0.8070588235294117,0.9529411764705882
Multi-Kernel GPR,0.1,1,Success,850.0,0.6588800518062949,0.41248605823954915,0.18722075159857932,0.516779796044037,0.7952941176470588,0.9341176470588235
Multi-Kernel GPR,0.1,2,Success,850.0,0.5151056063408035,0.32972512268017645,0.22888862253014286,0.44157132895414986,0.8494117647058823,0.9670588235294117
EKF,0.1,0,Success,850.0,0.8005835042599109,0.5291349405451611,-0.5175131981139853,0.12559672671537983,0.7388235294117647,0.8929411764705882
EKF,0.1,1,Success,850.0,1.070732500357575,0.656808128663703,-1.1464553509463697,0.2437224002518092,0.6929411764705883,0.8411764705882353
EKF,0.1,2,Success,850.0,0.6713095877284164,0.40248846567589364,-0.30969526492229704,0.3603637144024689,0.8117647058823529,0.9588235294117647
Particle Filter,0.1,0,Success,850.0,1.0360864149018336,0.7005551492946173,-1.5416231687795428,0.10634972713288453,0.6505882352941177,0.8211764705882353
Particle Filter,0.1,1,Success,850.0,1.0694593417105547,0.7068269024000471,-1.1413538835316488,0.28538679837666264,0.6623529411764706,0.8364705882352941
Particle Filter,0.1,2,Success,850.0,0.7163015224591344,0.45333718919502336,-0.49113274063438905,0.2852140447664304,0.7894117647058824,0.9258823529411765
