Method,Missing_Fraction,Replicate,N_Missing,RMSE,MAE,R2,PLV,Time,Status,Session
Baseline GPR,0.1,0,850,0.6022937293691657,0.4009884215189912,0.14111328462679384,0.4080633084362996,38.87329292297363,Success,session_1
Baseline GPR,0.1,1,850,0.6857269525432228,0.45263608152414636,0.11963589214877823,0.42651404901209494,45.43414616584778,Success,session_1
Baseline GPR,0.1,2,850,0.5419186043135025,0.3321309439931942,0.14652131538910218,0.4831206496196291,44.12127208709717,Success,session_1
Baseline GPR,0.1,0,850,0.411635392697304,0.24651669100487858,-0.34122086480028613,0.2023842973761094,38.03132700920105,Success,session_2
Baseline GPR,0.1,1,850,0.646423159449115,0.37071366176986503,0.232281248485659,0.5953987519531982,39.05185508728027,Success,session_2
Baseline GPR,0.1,2,850,0.5336789224648493,0.24827807748724887,0.2908327522869609,0.7622704315062645,41.271119832992554,Success,session_2
Baseline GPR,0.1,0,650,0.5153652273393367,0.3116647437994229,0.08021976323350843,0.48744265429783556,53.69526505470276,Success,session_3
Baseline GPR,0.1,1,650,0.5356548876158268,0.3309779248364143,-0.04644159236469969,0.23316947852898254,37.349860191345215,Success,session_3
Baseline GPR,0.1,2,650,0.4812911987159006,0.29562173924960883,0.037991474628760624,0.2294767513766042,39.85870432853699,Success,session_3
Multi-Kernel GPR,0.1,0,850,0.5718292919339213,0.37585742478521705,0.22580208251519973,0.5195560257060982,51.43909215927124,Success,session_1
Multi-Kernel GPR,0.1,1,850,0.6588800518062949,0.41248605823954915,0.18722075159857932,0.516779796044037,93.42385387420654,Success,session_1
Multi-Kernel GPR,0.1,2,850,0.5151056063408035,0.32972512268017645,0.22888862253014286,0.44157132895414986,64.6388988494873,Success,session_1
Multi-Kernel GPR,0.1,0,850,0.4051567524853993,0.23927501686349992,-0.299334728792086,0.2360978831735316,75.51478409767151,Success,session_2
Multi-Kernel GPR,0.1,1,850,0.6234334073379294,0.3508386477201466,0.2859173607267931,0.6179547653846051,67.38979387283325,Success,session_2
Multi-Kernel GPR,0.1,2,850,0.5474611150223996,0.2558658433707367,0.25373147747256364,0.7482468798944927,57.32640314102173,Success,session_2
Multi-Kernel GPR,0.1,0,650,0.5153670791770915,0.31166211438966634,0.0802131532150655,0.4874360233938249,110.69790482521057,Success,session_3
Multi-Kernel GPR,0.1,1,650,0.5382811105529778,0.33085072570533225,-0.0567277894014806,0.16260151282189225,116.98603916168213,Success,session_3
Multi-Kernel GPR,0.1,2,650,0.4711999670895197,0.2947430538094634,0.07790942300057668,0.1962164053439435,72.28270196914673,Success,session_3
EKF,0.1,0,850,0.8005835042599109,0.5291349405451611,-0.5175131981139853,0.12559672671537983,0.10072016716003418,Success,session_1
EKF,0.1,1,850,1.070732500357575,0.656808128663703,-1.1464553509463697,0.2437224002518092,0.1025850772857666,Success,session_1
EKF,0.1,2,850,0.6713095877284164,0.40248846567589364,-0.30969526492229704,0.3603637144024689,0.09876298904418945,Success,session_1
EKF,0.1,0,850,0.5042078044369774,0.3205484704754536,-1.012305948531318,0.19516191406064157,0.09497904777526855,Success,session_2
EKF,0.1,1,850,0.8799191149833288,0.4689530047912436,-0.4225051184222761,0.4005399423830341,0.09430909156799316,Success,session_2
EKF,0.1,2,850,0.6662973558577154,0.29626166887407396,-0.10541345874641861,0.6201396225707739,0.0942230224609375,Success,session_2
EKF,0.1,0,650,0.7267489271353132,0.44200116423815416,-0.8290376580055403,0.19818352785827872,0.07398819923400879,Success,session_3
EKF,0.1,1,650,0.6454923835771423,0.4230463598162089,-0.5195923320328606,0.027380540845693472,0.07351899147033691,Success,session_3
EKF,0.1,2,650,0.5511448854662846,0.36707878635928093,-0.2615214640923029,0.08796536212169259,0.07463717460632324,Success,session_3
Particle Filter,0.1,0,850,0.9528541344688899,0.6618128783367675,-1.1496712472245845,0.08372462614968179,0.45565176010131836,Success,session_1
Particle Filter,0.1,1,850,1.0325499780025034,0.6756653653830178,-0.9960988857020325,0.30269780041956496,0.45387792587280273,Success,session_1
Particle Filter,0.1,2,850,0.6830115876112223,0.4452123911000187,-0.3557533964775017,0.27014508710509816,0.45805811882019043,Success,session_1
Particle Filter,0.1,0,850,0.6242686868004979,0.425309910568054,-2.084735889869393,0.18531530642020252,0.43392324447631836,Success,session_2
Particle Filter,0.1,1,850,0.7608031275516873,0.4611241827136532,-0.06343980422115814,0.38625630754670903,0.43435096740722656,Success,session_2
Particle Filter,0.1,2,850,0.7078795919349901,0.35244354860218385,-0.2476918896229343,0.3984097198384782,0.4296541213989258,Success,session_2
Particle Filter,0.1,0,650,0.7531319137473397,0.5175985039914013,-0.9642463319158321,0.17661716505308914,0.33891773223876953,Success,session_3
Particle Filter,0.1,1,650,0.7098711851907875,0.5201531984327293,-0.8378241099088843,0.028476542172186828,0.33669233322143555,Success,session_3
Particle Filter,0.1,2,650,0.6442984949288533,0.4635147611689337,-0.7240002112637234,0.12629229629903393,0.33854103088378906,Success,session_3
