Method,Metric,Intercept,Slope,R2_fit,p_value
GPR,RMSE,0.2941026223355821,0.261243507847745,0.0069792253601120005,0.5256828954058226
GPR,DTW,0.1931479001014966,0.3640207870485754,0.025217751388874228,0.22555094274516088
Cubic Spline,RMSE,0.03374891223601617,11.17698714532071,0.15779332191623707,0.0016744248297596584
Cubic Spline,DTW,-0.06336155253459097,9.377878312005166,0.14492769920365445,0.0026937561674494274
Penalized Spline,RMSE,1.4312195269931243,38.476530275031685,0.1865015707193816,0.0005701872713366365
Penalized Spline,DTW,1.0599870471354844,32.373166389153596,0.18138971282573793,0.0006920177580711037
GPR,RMSE,0.7622111302697921,0.03486748603564395,2.2946211324938993e-05,0.9882119276834044
GPR,DTW,0.5652567590963751,0.20458456684252505,0.0010526279523958206,0.9202687359886611
Takens Embedding,RMSE,0.2094067181941079,0.48356574454565576,0.02222087648232461,0.6438099206561095
Takens Embedding,DTW,0.09947632012686618,0.16061126091762598,0.010563193874437183,0.7505998606248678
Constrained Opt.,RMSE,0.9129604544614596,0.11719100419963221,0.0001438528616285517,0.970489501865653
Constrained Opt.,DTW,0.6273736201388013,0.0842083925347566,0.00015562445398112403,0.9693062895429412
Mean Reversion,RMSE,0.8223252008642146,-0.10573365565675469,0.00017752730854740502,0.9672183828458414
Mean Reversion,DTW,0.7031943822843355,-0.13153653290285797,0.00038878201488164865,0.9515014717232847
