Gap,Method,RMSE,R2,EnvCorr,SpCoh,DTW
5%,GPR,0.7438939010266604,-0.1750328224252352,0.05886750806387864,0.057758359028474766,0.529761469192546
5%,Takens Embedding,0.2417734680387825,0.862525623465829,0.8974994229737786,0.43506688249442255,0.11180017580601537
10%,GPR,0.7469847982746837,-0.11148347718350472,-0.0302947897785532,0.021604252497015402,0.6150980790947003
10%,Takens Embedding,0.24510531461137666,0.8853043955548419,0.9028302787439909,0.3672530772443079,0.10922274174948016
15%,GPR,0.8650492250072267,-1.5048309549885481,-0.021998420365135565,0.018624480480186566,0.6743522722324743
15%,Takens Embedding,0.28269214809837456,0.8612376470205273,0.8917769988229408,0.34272267091172126,0.12331754030300357
20%,GPR,0.7103503397884201,-0.03212721722222277,0.07088513955050767,0.023903582909344603,0.5441074992870422
20%,Takens Embedding,0.3098388143007258,0.8357820825198189,0.8748225878449368,0.32144702690218113,0.1338704531077786
5%,FLSTM,0.8718205043128505,-0.0184026633638338,,,
5%,F-Ridge,1.732291486529639,-3.0207522213590545,,,
10%,FLSTM,0.7755863503985275,-0.0200092325772596,,,
10%,F-Ridge,1.1834137309073431,-1.3747450779200077,,,
15%,FLSTM,0.7764602829156437,0.0024858674877161,,,
15%,F-Ridge,0.7890019051835047,-0.0299986832131171,,,
20%,FLSTM,0.7767390065952258,-0.0044647575039067,,,
20%,F-Ridge,0.7759928314146182,-0.0025358041276004,,,
