Session,Method,Missing_Fraction,Replicate,N_Missing,RMSE,R2,PLV,Time,Status
session_1,GPR,0.05,0,436,0.18357363065907714,-0.00039481459380508177,0.999336871315188,1.0174882411956787,Success
session_1,Cubic Spline,0.05,0,436,0.3299239217678709,-2.231308696025635,0.9982504108324082,0.0019750595092773438,Success
session_1,Penalized Spline,0.05,0,436,1.3372500934627505,-52.085524312262486,0.9425582345900637,0.0013933181762695312,Success
session_1,GPR,0.05,1,436,0.6829611478972965,-0.059184150376392575,0.9875184758716681,0.9819262027740479,Success
session_1,Cubic Spline,0.05,1,436,1.5336982779759425,-4.341452080069219,0.9468295787690292,0.001886129379272461,Success
session_1,Penalized Spline,0.05,1,436,3.339331136362068,-24.322026004923046,0.8903096378410094,0.0011970996856689453,Success
session_1,GPR,0.05,2,436,0.4181456715980548,-0.0037449788426162645,0.995979695726284,0.9352750778198242,Success
session_1,Cubic Spline,0.05,2,436,1.2759620426506562,-8.346385393212483,0.9442551551867908,0.0017957687377929688,Success
session_1,Penalized Spline,0.05,2,436,0.886373034026017,-3.5102565392070932,0.9656910409086159,0.001148223876953125,Success
session_1,GPR,0.05,3,436,0.30760185625724396,0.0028228843719118046,0.9979628580171725,1.3637218475341797,Success
session_1,Cubic Spline,0.05,3,436,0.6804403545177615,-3.8794910274109045,0.9930992458685277,0.0018680095672607422,Success
session_1,Penalized Spline,0.05,3,436,3.5100597593976306,-128.84445873267074,0.8757052929984783,0.001165151596069336,Success
session_1,GPR,0.05,4,436,0.21328120427404793,-0.01124569129103592,0.999099203247464,0.9605231285095215,Success
session_1,Cubic Spline,0.05,4,436,0.577009048526569,-6.401449206102601,0.9915038286813113,0.001856088638305664,Success
session_1,Penalized Spline,0.05,4,436,1.248969458643487,-33.67808867595484,0.9650660475229142,0.0011012554168701172,Success
session_1,GPR,0.1,0,873,0.27458752676351916,-1.1134769692019195,0.9973399756044578,1.554603099822998,Success
session_1,Cubic Spline,0.1,0,873,0.5796058980557534,-8.416759986092153,0.9836837222011757,0.0017957687377929688,Success
session_1,Penalized Spline,0.1,0,873,5.380606132068419,-810.5182918423823,0.7017193701789811,0.0010728836059570312,Success
session_1,GPR,0.1,1,873,0.6579165148679308,-0.009856167802583693,0.9762493115824494,1.0840768814086914,Success
session_1,Cubic Spline,0.1,1,873,1.8821925581270647,-7.265060749407448,0.9396793148265123,0.001756906509399414,Success
session_1,Penalized Spline,0.1,1,873,15.811178937007407,-582.2388613914071,0.7068489496904492,0.0011289119720458984,Success
session_1,GPR,0.1,2,873,0.44326460266590106,-0.13741257870509216,0.9909371438170281,1.1298279762268066,Success
session_1,Cubic Spline,0.1,2,873,0.8760235953185924,-3.4424600523230167,0.9392462999227538,0.0017480850219726562,Success
session_1,Penalized Spline,0.1,2,873,8.967186592104193,-464.48354922776275,0.6715386599062426,0.0010919570922851562,Success
session_1,GPR,0.1,3,873,0.3462280503922707,-0.2816376205801481,0.9945929998989342,1.4057040214538574,Success
session_1,Cubic Spline,0.1,3,873,0.7789948454913249,-5.487986156370017,0.9844663845982167,0.0017652511596679688,Success
session_1,Penalized Spline,0.1,3,873,10.09072420841741,-1087.6428376006616,0.7563310742749881,0.0010738372802734375,Success
session_1,GPR,0.1,4,873,0.2210242105190974,-0.0235483885201484,0.9980537499486634,1.3092639446258545,Success
session_1,Cubic Spline,0.1,4,873,0.4071168596067144,-2.4726967339517723,0.992973803088547,0.0017421245574951172,Success
session_1,Penalized Spline,0.1,4,873,1.760934135989415,-63.97030532601191,0.9595655044429426,0.0011560916900634766,Success
session_1,GPR,0.15,0,1309,0.21687438848158996,-0.22109803042459286,0.9973069288351888,1.1382498741149902,Success
session_1,Cubic Spline,0.15,0,1309,0.36466948385450637,-2.452493267268876,0.9922114267016009,0.0017271041870117188,Success
session_1,Penalized Spline,0.15,0,1309,2.6782480696580073,-185.22397680813458,0.9096382909500924,0.0010569095611572266,Success
session_1,GPR,0.15,1,1309,0.652283474167083,-0.03749328600512691,0.9657369056115662,1.0720577239990234,Success
session_1,Cubic Spline,0.15,1,1309,5.857295824530398,-82.65788121825463,0.7895078964460686,0.0019609928131103516,Success
session_1,Penalized Spline,0.15,1,1309,2.5098841991785728,-14.361014977431585,0.7533597902829406,0.001219034194946289,Success
session_1,GPR,0.15,2,1309,0.432118909212686,-0.04747844349826735,0.9870177168578773,1.663207769393921,Success
session_1,Cubic Spline,0.15,2,1309,5.481741146129776,-167.5681806684175,0.8120520721723702,0.001645803451538086,Success
session_1,Penalized Spline,0.15,2,1309,8.636866948579451,-417.45716704596003,0.5915974448620904,0.0010666847229003906,Success
session_1,GPR,0.15,3,1309,0.34439926320153547,-0.18048238569740915,0.9925088960274814,1.255098819732666,Success
session_1,Cubic Spline,0.15,3,1309,1.3435017692366003,-16.96435254102966,0.7907304549142259,0.0019299983978271484,Success
