Scenario,Method,RMSE_mean,RMSE_std,CI_low,CI_high,N_trials
Small (5%),CSI,2.9211567335291564,1.750561637680161,0.7475473713850787,5.094766095673235,5
Small (5%),Penalized Spline,2.803054836138908,1.6253362179437516,0.784933369341485,4.821176302936331,5
Small (5%),GPR,1.525805996566881,0.1305014367847974,1.3637670607973338,1.6878449323364284,5
Small (5%),CNN,1.6252209068401462,0.1451035922381979,1.4450510003479367,1.8053908133323557,5
Small (5%),LSTM,1.529353243293158,0.1245235897569073,1.3747367849649113,1.6839697016214048,5
Medium (10%),CSI,3.208344069876508,1.4803730269738065,1.3702181783712029,5.046469961381813,5
Medium (10%),Penalized Spline,3.190978264440197,1.4697144122185797,1.3660867911471806,5.0158697377332135,5
Medium (10%),GPR,1.5924975656884448,0.1307319894025311,1.430172361033766,1.7548227703431236,5
Medium (10%),CNN,1.754918902906745,0.1393490870582615,1.5818941583239394,1.9279436474895504,5
Medium (10%),LSTM,1.607109828999833,0.1128018580780931,1.4670478228937742,1.7471718351058916,5
Large (15%),CSI,3.761859777114797,1.1978724800079283,2.2745046442498937,5.2492149099797,5
Large (15%),Penalized Spline,3.7604193105311703,1.1937815171715394,2.278143778938201,5.2426948421241395,5
Large (15%),GPR,1.5638058018382384,0.1049596276821415,1.433481210880452,1.6941303927960247,5
Large (15%),CNN,1.738076488302473,0.0828708679385446,1.6351787150832837,1.8409742615216624,5
Large (15%),LSTM,1.580094028691584,0.0918756117823661,1.4660153892284746,1.6941726681546936,5
