method1,method2,method1_mean,method1_std,method2_mean,method2_std,wilcoxon_statistic,wilcoxon_p,mannwhitney_statistic,mannwhitney_p,ttest_statistic,ttest_p,cohens_d,effect_size_interpretation,significant,Scenario
CSI,Penalized Spline,2.2143153249594283,1.3815489666607779,2.3718085615553877,1.3109434347438247,6.0,0.8125,11.0,0.8412698412698413,-0.26622387603837455,0.8032264917134578,-0.1046003507031701,negligible,False,Small (5%)
CSI,GPR,3.609718284930165,1.0948588450213934,1.4834896636751462,0.09688583591778273,0.0,0.0625,25.0,0.007936507936507936,3.8282482532404982,0.018646043062237425,2.446910101021178,large,False,Small (5%)
CSI,CNN,3.2004811821773353,1.5083750645402985,1.440932697183478,0.15141976687183026,1.0,0.125,21.0,0.09523809523809523,2.3019847818437653,0.08275817343884499,1.4681639926677594,large,False,Small (5%)
CSI,LSTM,4.325330331478121,0.8751879562036183,1.5036758919348996,0.06323649643095372,0.0,0.0625,25.0,0.007936507936507936,6.306900306562859,0.003231407492694214,4.06753934076272,large,False,Small (5%)
Penalized Spline,GPR,3.0759535724346136,1.3863208317463198,1.482044573797486,0.07486841530760065,1.0,0.125,21.0,0.09523809523809523,2.3663078003803113,0.07713060491786985,1.4522031184384918,large,False,Small (5%)
Penalized Spline,CNN,2.486958320076485,1.1854248956327154,1.6116476934722166,0.14016047767626458,4.0,0.4375,20.0,0.15079365079365079,1.388421892177595,0.2373267923571564,0.9275417831103175,large,False,Small (5%)
Penalized Spline,LSTM,2.279891108293394,1.3104541301680732,1.493410004706287,0.10405178830006767,6.0,0.8125,10.0,0.6904761904761905,1.2659352278465155,0.27424560514766155,0.7567662188966907,medium,False,Small (5%)
GPR,CNN,1.5632769985963957,0.11183147600856112,1.5804897626508456,0.05093540374015682,5.0,0.625,10.0,0.6904761904761905,-0.3179975688791517,0.7663964512062217,-0.1771789599227969,negligible,False,Small (5%)
GPR,LSTM,1.5801254717443096,0.07025155792769906,1.5046647212294015,0.1237177418998093,6.0,0.8125,16.0,0.5476190476190477,0.9049600500741242,0.41666492497030616,0.6709053511125372,medium,False,Small (5%)
CNN,LSTM,1.7589908427656602,0.1078263285094503,1.5518671892248004,0.16436373695428427,2.0,0.1875,21.0,0.09523809523809523,2.0637952392505428,0.10798681795900204,1.3327851449422572,large,False,Small (5%)
CSI,Penalized Spline,2.4110819292978194,1.1899567000588764,2.969065163402143,1.21846002928055,5.0,0.625,9.0,0.5476190476190477,-1.3025967122410747,0.26264582804076975,-0.4144136875805102,small,False,Medium (10%)
CSI,GPR,2.3178177688176986,2.0131431664373505,1.5624135720094703,0.06171011150597553,5.0,0.625,15.0,0.6904761904761905,0.740578994088722,0.5000642307929658,0.47441758466589473,small,False,Medium (10%)
CSI,CNN,3.4459512058060597,1.6099527024882843,1.7775139705359209,0.09595052636600233,2.0,0.1875,20.0,0.15079365079365079,2.0397005761505347,0.11098138806938769,1.3085394340559307,large,False,Medium (10%)
CSI,LSTM,3.25757446230105,1.2839566070531185,1.588596211018298,0.1146081918337991,1.0,0.125,22.0,0.05555555555555555,2.6247011750350238,0.05851019281238773,1.6377100862802363,large,False,Medium (10%)
Penalized Spline,GPR,2.7409197149798823,1.6287576150788903,1.651248178185367,0.13773837533463595,3.0,0.3125,15.0,0.6904761904761905,1.3794689562492553,0.2398516414548048,0.8432410445780921,large,False,Medium (10%)
