Method,RMSE,R2,PLV,EnvCorr,SpCoh,DTW,Runtime
Takens Embedding,0.24510531461137666,0.8853043955548419,0.9562769913942417,0.9028302787439909,0.3672530772443079,0.10922274174948016,0.4401422341664632
F-Ridge,0.6588155728612034,-0.4383213976679303,0.8054999075602934,0.3058453954841913,0.3384133010132483,0.2252529816612245,104.94874119758606
FCNN,0.723873961096853,-0.7364174358542377,0.7657006968429643,0.2370834722716411,0.1037919006628283,0.2572787201866289,11.29175877571106
FLSTM,0.5544492161156688,-0.0187128312694628,0.8562487069015313,0.1347502329161134,0.1055968803443515,0.3087692514083069,75.45010590553284
GPR,0.36375095064358237,-0.036816733127951064,0.9196204220819162,0.03189714009661924,0.01640092858686932,0.316176359371615,1.371295976638794
Constrained Opt.,0.9164531745999231,-0.6527896250487771,0.5528127895437205,0.025526626528170598,0.018933466636177367,0.5913015127589115,0.2852005163828532
Cubic Spline,0.9047867513198898,-5.416992735628881,0.7900032210029426,-0.031243515925352416,0.017360118548131877,0.6194624724257195,0.00223436355590814
Mean Reversion,0.8210079592684975,-0.5572333932705077,0.564481481740523,-0.0015866987683087665,0.0138527824133695,0.7002125021125728,
OLD-CNN,1.2314580444392071,-4.025363359648622,0.1995298164731058,0.2049820819520134,0.1346264153741596,0.8917788529016379,2.9006330966949463
Penalized Spline,8.40212600111737,-601.7707690776451,0.6262608312678277,-0.011692528230810538,0.01647751414969826,6.898179968291108,0.00172605514526366
